cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-0.223,-0.358,0.038,-0.145,-0.397,-0.433
-0.265,-0.394,0.017,-0.157,-0.448,-0.46
-0.302,-0.42,-0.031,-0.179,-0.486,-0.489
-0.315,-0.43,-0.042,-0.186,-0.516,-0.513
-0.36,-0.458,-0.058,-0.212,-0.558,-0.543
-0.398,-0.487,-0.087,-0.225,-0.585,-0.552
-0.415,-0.502,-0.102,-0.241,-0.613,-0.571
-0.438,-0.508,-0.125,-0.253,-0.629,-0.582
-0.475,-0.522,-0.157,-0.255,-0.65,-0.593
-0.488,-0.525,-0.17,-0.276,-0.674,-0.605
-0.518,-0.535,-0.206,-0.272,-0.681,-0.612
-0.534,-0.533,-0.202,-0.279,-0.703,-0.61
-0.537,-0.53,-0.238,-0.284,-0.692,-0.611
-0.538,-0.532,-0.239,-0.289,-0.707,-0.601
-0.54,-0.511,-0.237,-0.292,-0.7,-0.588
-0.54,-0.502,-0.253,-0.294,-0.705,-0.581
-0.545,-0.494,-0.255,-0.304,-0.689,-0.559
-0.546,-0.468,-0.274,-0.293,-0.678,-0.545
-0.54,-0.463,-0.28,-0.285,-0.656,-0.521
-0.526,-0.444,-0.287,-0.277,-0.645,-0.5
-0.515,-0.417,-0.289,-0.27,-0.599,-0.471
-0.487,-0.396,-0.277,-0.276,-0.569,-0.438
-0.481,-0.362,-0.287,-0.249,-0.557,-0.406
-0.463,-0.325,-0.266,-0.259,-0.514,-0.362
-0.414,-0.298,-0.271,-0.243,-0.466,-0.323
-0.411,-0.265,-0.268,-0.231,-0.43,-0.287
-0.357,-0.234,-0.259,-0.209,-0.394,-0.247
-0.325,-0.195,-0.242,-0.202,-0.32,-0.191
-0.28,-0.159,-0.24,-0.192,-0.284,-0.152
-0.254,-0.12,-0.216,-0.17,-0.227,-0.117
-0.212,-0.088,-0.25,-0.166,-0.168,-0.064
-0.179,-0.038,-0.201,-0.147,-0.126,-0.022
-0.153,-0.011,-0.237,-0.131,-0.058,0.029
-0.094,0.024,-0.194,-0.117,-0.012,0.078
-0.056,0.062,-0.171,-0.09,0.052,0.113
-0.012,0.094,-0.147,-0.063,0.087,0.165
0.026,0.13,-0.121,-0.073,0.125,0.214
0.079,0.165,-0.144,-0.062,0.191,0.257
0.091,0.198,-0.124,-0.044,0.25,0.295
0.124,0.23,-0.088,-0.009,0.297,0.336
0.177,0.253,-0.091,-0.002,0.352,0.365
0.241,0.283,-0.034,0.033,0.392,0.404
0.27,0.325,-0.019,0.029,0.449,0.442
0.322,0.344,-0.018,0.051,0.485,0.469
0.331,0.343,0.036,0.064,0.528,0.492
0.367,0.378,0.002,0.075,0.576,0.522
0.402,0.393,0.035,0.072,0.609,0.538
0.446,0.411,0.063,0.088,0.634,0.553
0.469,0.418,0.063,0.11,0.655,0.579
0.475,0.424,0.094,0.105,0.701,0.583
0.514,0.424,0.127,0.121,0.706,0.588
0.518,0.445,0.127,0.128,0.734,0.591
0.548,0.438,0.162,0.136,0.75,0.605
0.56,0.446,0.192,0.157,0.747,0.604
0.553,0.436,0.206,0.144,0.757,0.601
0.58,0.443,0.183,0.166,0.766,0.599
0.593,0.443,0.218,0.176,0.754,0.584
0.604,0.423,0.245,0.186,0.749,0.571
0.589,0.403,0.23,0.151,0.748,0.562
0.586,0.413,0.262,0.153,0.75,0.543
0.601,0.395,0.267,0.192,0.737,0.524
0.59,0.373,0.284,0.174,0.711,0.502
0.613,0.378,0.288,0.174,0.689,0.487
0.601,0.348,0.282,0.183,0.695,0.454
0.574,0.327,0.299,0.166,0.667,0.436
0.576,0.301,0.299,0.166,0.629,0.414
0.546,0.287,0.348,0.168,0.61,0.386
0.542,0.269,0.31,0.185,0.586,0.345
0.519,0.252,0.344,0.191,0.552,0.324
0.519,0.246,0.352,0.202,0.535,0.292
0.456,0.206,0.333,0.159,0.496,0.258
0.474,0.186,0.364,0.166,0.453,0.23
0.42,0.153,0.374,0.188,0.399,0.191
0.413,0.132,0.33,0.195,0.381,0.16
0.412,0.125,0.374,0.175,0.377,0.137
0.368,0.092,0.339,0.199,0.313,0.096
0.339,0.09,0.308,0.166,0.272,0.071
0.33,0.056,0.296,0.171,0.223,0.034
0.256,0.048,0.299,0.158,0.19,0.003
0.234,0.008,0.297,0.197,0.16,-0.018
0.24,-0.004,0.276,0.179,0.13,-0.041
0.178,-0.02,0.284,0.199,0.074,-0.078
0.167,-0.055,0.269,0.171,0.04,-0.098
0.108,-0.07,0.242,0.131,-0.001,-0.13
0.102,-0.098,0.227,0.166,-0.037,-0.164
0.055,-0.113,0.188,0.151,-0.063,-0.187
-0.001,-0.119,0.16,0.149,-0.112,-0.198
-0.007,-0.143,0.151,0.134,-0.153,-0.233
-0.04,-0.142,0.157,0.146,-0.178,-0.245
-0.101,-0.161,0.104,0.185,-0.217,-0.271
-0.178,-0.21,0.077,0.145,-0.261,-0.29
-0.16,-0.201,-0.016,0.162,-0.289,-0.308
-0.224,-0.24,0.001,0.152,-0.301,-0.327
-0.244,-0.243,-0.001,0.177,-0.364,-0.345
-0.27,-0.275,-0.079,0.09,-0.387,-0.36
-0.291,-0.274,-0.141,0.105,-0.406,-0.388
-0.359,-0.307,-0.097,0.057,-0.435,-0.39
-0.398,-0.325,-0.162,0.054,-0.471,-0.41
-0.44,-0.355,-0.292,0.048,-0.503,-0.426
-0.468,-0.367,-0.377,0.038,-0.536,-0.44
-0.526,-0.377,-0.386,0.023,-0.549,-0.462
-0.584,-0.411,-0.443,-0.052,-0.607,-0.477
-0.602,-0.468,-0.572,-0.115,-0.629,-0.491
-0.608,-0.483,-0.599,-0.161,-0.644,-0.495
-0.713,-0.496,-0.687,-0.192,-0.651,-0.515
-0.761,-0.519,-0.763,-0.219,-0.695,-0.523
-0.774,-0.554,-0.839,-0.342,-0.727,-0.548
-0.833,-0.586,-0.966,-0.434,-0.746,-0.561
-0.887,-0.656,-1.039,-0.541,-0.792,-0.597
-0.938,-0.662,-1.124,-0.671,-0.829,-0.608
-0.982,-0.697,-1.225,-0.773,-0.857,-0.628
-1.028,-0.739,-1.295,-0.926,-0.866,-0.667
-1.053,-0.825,-1.394,-1.052,-0.921,-0.693
-1.089,-0.847,-1.54,-1.235,-0.943,-0.733
-1.162,-0.9,-1.645,-1.463,-0.983,-0.758
